"","CumulativeCases","CumulativeTests","DailyCases","DailyTests","SvnDayCaseAvg","FrtnDayCaseAvg","SvnDayTestAvg","FrtnDayTestAvg","NextDayCases"
"1",876,30300,52,3000,67,58,2614,2164,96
"2",972,33300,96,3000,72,63,2857,2200,51
"3",1023,35300,51,2000,72,64,3071,2271,68
"4",1091,37300,68,2000,74,69,3157,2273,49
"5",1140,39300,49,2000,73,73,2857,2262,30
"6",1170,42300,30,3000,61,67,2714,2393,20
"7",1190,44300,20,2000,52,60,2429,2364,23
"8",1213,45300,23,1000,48,57,2143,2379,33
"9",1246,46300,33,1000,39,56,1857,2357,21
"10",1267,48300,21,2000,35,53,1857,2464,16
"11",1283,50300,16,2000,27,51,1857,2507,13
"12",1296,52300,13,2000,22,48,1857,2357,24
"13",1320,57300,24,5000,21,41,2143,2429,3
"14",1323,58300,3,1000,19,36,2000,2214,13
"15",1336,61300,13,3000,18,33,2286,2214,10
"16",1346,62300,10,1000,14,27,2286,2071,8
"17",1354,63300,8,1000,12,24,2143,2000,8
"18",1362,64300,8,1000,11,19,2000,1929,3
"19",1365,66300,3,2000,10,16,2000,1929,17
"20",1382,70300,17,4000,9,15,1857,2000,9
"21",1391,73300,9,3000,10,14,2143,2071,1
"22",1392,77300,1,4000,8,13,2286,2286,7
"23",1399,79300,7,2000,8,11,2429,2357,3
"24",1402,81300,3,2000,7,10,2571,2357,1
"25",1403,84300,1,3000,6,9,2857,2429,6
"26",1409,87300,6,3000,6,8,3000,2500,3
"27",1412,89300,3,2000,4,7,2714,2286,3
"28",1415,92300,3,3000,3,7,2714,2429,3
"29",1418,95300,3,3000,4,6,2571,2429,5
"30",1423,100349,5,5049,3,6,3007,2718,7
"31",1430,102392,7,2043,4,5,3013,2792,3
"32",1433,106418,3,4026,4,5,3160,3008,7
"33",1440,115007,7,8589,4,5,3958,3479,13
"34",1453,120528,13,5521,6,5,4461,3588,22
"35",1475,129733,22,9205,9,6,5348,4031,17
"36",1492,137961,17,8228,11,7,6094,4333,17
"37",1509,143277,17,5316,12,8,6133,4570,14
"38",1523,153377,14,10100,13,9,7284,5148,13
"39",1536,167807,13,14430,15,10,8770,5965,1
"40",1537,184565,1,16758,14,9,9937,6948,19
"41",1556,201205,19,16640,15,10,11525,7993,9
"42",1565,218189,9,16984,13,11,12637,8992,15
"43",1580,236626,15,18437,13,12,14095,10095,3
"44",1583,249751,3,13125,11,11,15211,10672,7
"45",1590,264555,7,14804,10,11,15883,11583,19
"46",1609,280741,19,16186,10,13,16133,12452,11
"47",1620,300759,11,20018,12,13,16599,13268,7
"48",1627,315270,7,14511,10,12,16295,13910,6
"49",1633,329519,6,14249,10,11,15904,14270,9
"50",1642,336590,9,7071,9,11,14281,14188,6
"51",1648,349420,6,12830,9,10,14238,14724,8
"52",1656,358572,8,9152,9,10,13431,14657,12
"53",1668,369973,12,11401,8,9,12747,14440,7
"54",1675,384403,7,14430,8,10,11949,14274,10
"55",1685,390126,10,5723,8,9,10694,13494,2
"56",1687,411546,2,21420,8,9,11718,13811,5
"57",1692,423178,5,11632,7,8,12370,13325,8
"58",1700,428706,8,5528,7,8,11327,12782,10
"59",1710,462132,10,33426,8,9,14794,14113,6
"60",1716,471993,6,9861,7,8,14574,13661,11
"61",1727,484385,11,12392,7,8,14283,13116,4
"62",1731,492865,4,8480,7,7,14677,12685,4
"63",1735,500991,4,8126,7,7,12778,12248,10
"64",1745,506841,10,5850,8,7,11952,12161,7
"65",1752,512659,7,5818,7,7,11993,11660,8
"66",1760,517807,8,5148,7,7,7954,11374,3
"67",1763,522116,3,4309,7,7,7160,10867,4
"68",1767,526425,4,4309,6,7,6006,10144,4
"69",1771,531573,4,5148,6,6,5530,10103,2
"70",1773,540713,2,9140,5,6,5675,9226,4
"71",1777,544465,4,3752,5,6,5375,8663,4
"72",1781,548656,4,4191,4,6,5142,8568,8
"73",1789,558601,8,9945,4,6,5828,6891,4
"74",1793,564949,4,6348,4,6,6119,6640,12
"75",1805,573742,12,8793,5,6,6760,6383,17
"76",1822,583271,17,9529,7,6,7385,6458,12
"77",1834,591610,12,8339,9,7,7271,6473,9
"78",1843,595622,9,4012,9,7,7308,6342,21
"79",1864,600652,21,5030,12,8,7428,6285,18
"80",1882,609583,18,8931,13,9,7283,6555,12
"81",1894,621983,12,12400,14,9,8148,7133,18
"82",1912,636654,18,14671,15,10,8987,7874,44
"83",1956,646158,44,9504,19,13,8984,8185,11
"84",1967,661558,11,15400,19,14,9993,8632,17
"85",1984,667872,17,6314,20,15,10321,8815,20
"86",2004,676021,20,8149,20,16,10767,9098,33
"87",2037,697020,33,20999,22,18,12491,9887,30
"88",2067,717324,30,20304,25,20,13620,10884,71
"89",2138,737492,71,20168,32,24,14405,11696,81
"90",2219,759595,81,22103,38,28,16205,12595,71
"91",2290,777549,71,17954,46,33,16570,13281,60
"92",2350,792930,60,15381,52,36,17865,14093,72
"93",2422,810346,72,17416,60,40,19189,14978,72
"94",2494,831028,72,20682,65,44,19144,15818,65
"95",2559,857348,65,26320,70,48,20003,16812,124
"96",2683,881778,124,24430,78,55,20612,17509,168
"97",2851,907331,168,25553,90,64,21105,18655,124
"98",2975,928928,124,21597,98,72,21626,19098,164
"99",3139,953456,164,24528,113,82,22932,20399,118
"100",3257,980010,118,26554,119,90,24238,21714,156
"101",3413,1009434,156,29424,131,98,25487,22315,299
"102",3712,1031219,299,21785,165,118,24839,22421,163
"103",3875,1068807,163,37588,170,124,26718,23665,239
"104",4114,1095976,239,27169,180,135,26949,24027,168
"105",4282,1126171,168,30195,187,142,28178,24902,257
"106",4539,1149114,257,22943,200,156,27951,25442,224
"107",4763,1171109,224,21995,215,167,27300,25769,302
"108",5065,1198149,302,27040,236,184,26959,26223,415
"109",5480,1226756,415,28607,253,209,27934,26386,188
"110",5668,1251165,188,24409,256,213,26051,26385,343
"111",6011,1279269,343,28104,271,226,26185,26567,246
"112",6257,1305943,246,26674,282,234,25682,26930,347
"113",6604,1332531,347,26588,295,248,26202,27077,450
"114",7054,1361995,450,29464,327,271,27269,27285,386
"115",7440,1386721,386,24726,339,288,26939,26949,280
"116",7720,1413872,280,27151,320,286,26731,27332,339
"117",8059,1437990,339,24118,342,299,26689,26370,437
"118",8496,1458303,437,20313,355,313,25576,25880,515
"119",9011,1501276,515,42973,393,338,27905,26793,353
"120",9364,1518864,353,17588,394,345,26619,26411,255
"121",9619,1537385,255,18521,366,347,25056,26163,694
"122",10892,1575383,579,19921,453,387,23073,24902,354
"123",11246,1609209,354,33826,455,398,24460,25575,626
"124",11872,1634710,626,25501,482,419,25201,25389,380
"125",12252,1652710,380,18000,463,428,21633,24769,398
"126",12650,1677710,398,25000,469,432,22692,24656,700
"127",13350,1698710,700,21000,533,450,23046,24051,434
"128",13784,1722710,434,24000,496,453,23893,23999,398
"129",14182,1747710,398,25000,470,462,24618,23846,416
"130",14598,1760726,416,13016,479,467,21645,23053,376
"131",14974,1785726,376,25000,443,463,21574,23387,298
"132",15272,1827142,298,41416,431,447,24919,23276,294
"133",15566,1846355,294,19213,417,443,24092,23392,395
"134",15961,1880445,395,34090,373,453,25962,24504,217
"135",16178,1900372,217,19927,342,419,25380,24636,371
"136",16549,1921323,371,20951,338,404,24802,24710,283
"137",16832,1940231,283,18908,319,399,25644,23644,247
"138",17079,1963493,247,23262,301,372,25395,23484,263
"139",17342,1985059,263,21566,296,364,22560,23739,211
"140",17553,2000787,211,15728,284,350,22062,23077,208
"141",17761,2018278,208,17491,257,315,19690,22826,237
"142",17998,2034387,237,16109,260,301,19145,22263,169
"143",18167,2054666,169,20279,231,285,19049,21925,177
"144",18344,2074992,177,20326,216,268,19252,22448,202
"145",18546,2096338,202,21346,210,255,18978,22187,99
"146",18645,2117085,99,20747,186,241,18861,20710,134
"147",18779,2131896,134,14811,175,230,18730,20396,144
"148",18923,2144956,144,13060,166,212,18097,18894,106
"149",19029,2158436,106,13480,147,204,17721,18433,108
"150",19137,2183906,108,25470,139,185,18463,18756,81
"151",19218,2203769,81,19863,125,170,18397,18824,112
"152",19330,2221883,112,18114,112,161,17935,18456,65
"153",19395,2236204,65,14321,107,147,17017,17939,58
"154",19453,2250644,58,14440,96,136,16964,17847,86
"155",19539,2260797,86,10153,88,127,16549,17323,112
"156",19651,2274709,112,13912,89,118,16610,17166,79
"157",19730,2357018,79,82309,85,112,24730,21597,64
"158",19794,2382049,64,25031,82,104,25469,21933,59
"159",19853,2397869,59,15820,75,93,25141,21538,36
"160",19889,2416207,36,18338,71,89,25715,21366,41
"161",19930,2429145,41,12938,68,82,25500,21232,73
